rank,title,points,counries,days,isoriginal
140,The Sons of Sam: A Descent Into Darkness,"2,108",49,17,YES
141,Love Alarm,"2,068",56,22,YES
142,Halston,"2,015",47,18,YES
143,RuPaul's Drag Race,"2,005",25,74,No
144,Castlevania,"1,957",67,20,YES
145,Workin' Moms,"1,924",47,18,YES
146,Attenborough's Life in Colour,"1,908",51,13,YES
147,Crash Landing on You,"1,891",9,180,YES
148,Fatma,"1,680",44,47,YES
149,Sweet Home,"1,656",22,50,YES
150,Outlander,"1,642",22,104,No
151,Beauty and the Baker,"1,638",18,28,No
152,Zero Chill,"1,631",49,20,YES
