,rank,title,points,counries,days,isoriginal,show_id,type,director,cast,country,date_added,release_year,rating,duration,listed_in,description
56,105,The Starling,"3,848",76,21,YES,s10,Movie,Theodore Melfi,"Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor",United States,"September 24, 2021",2021,Teens,104 min,"Comedies, Dramas",A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.
57,106,Home,"3,793",61,90,No,s847,Movie,Tim Johnson,"Jim Parsons, Rihanna, Steve Martin, Jennifer Lopez, Matt Jones, Brian Stepanek, April Lawrence",United States,"May 25, 2021",2015,Older Kids,94 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy","When misfit alien Oh mistakenly sends a party invite to the entire galaxy, he goes on the run to avoid trouble and befriends spunky human girl Tip."
58,108,Skater Girl,"3,739",79,21,YES,s737,Movie,Manjari Makijany,"Rachel Saanchita Gupta, Amy Maghera, Shafin Patel, Ambrish Saxena, Swati Das, Jonathan Readwin, Ankit Yadav, Anurag Arora, Vinayak Gupta, Vivek Yadav, Waheeda Rehman","United States, India","June 11, 2021",2021,Older Kids,110 min,"Children & Family Movies, Dramas, International Movies","When a teen in rural India discovers a life-changing passion for skateboarding, she faces a rough road as she follows her dream to compete."
59,110,Prey,"3,718",83,12,YES,s87,Movie,Thomas Sieben,"David Kross, Hanno Koffler, Maria Ehrich, Robert Finster, Yung Ngo, Klaus Steinbacher, Livia Matthes, Nellie Thalbach",,"September 10, 2021",2021,Adults,87 min,"International Movies, Thrillers",A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.
60,112,The Water Man,"3,644",73,26,YES,s232,Movie,David Oyelowo,"David Oyelowo, Rosario Dawson, Lonnie Chavis, Amiah Miller, Alfred Molina, Maria Bello",United States,"August 25, 2021",2021,Older Kids,92 min,"Children & Family Movies, Dramas","Desperate to save his ailing mother, 11-year-old Gunner runs away from home on a quest to find a mythic figure rumored to have the power to cheat death."
61,114,Rurouni Kenshin: The Final,"3,576",60,38,YES,s691,Movie,Keishi Otomo,"Takeru Sato, Emi Takei, Mackenyu, Munetaka Aoki, Yu Aoi, Yusuke Iseya, Tao Tsuchiya, Kazuki Kitamura, Kasumi Arimura, Yosuke Eguchi",,"June 18, 2021",2021,Teens,137 min,"Action & Adventure, International Movies","In 1879, Kenshin and his allies face their strongest enemy yet: his former brother-in-law Enishi Yukishiro and his minions, who've vowed their revenge."
62,115,The Stronghold,"3,556",72,14,YES,s37,Movie,Cédric Jimenez,"Gilles Lellouche, Karim Leklou, François Civil, Adèle Exarchopoulos, Kenza Fortas, Cyril Lecomte, Michaël Abiteboul, Idir Azougli, Vincent Darmuzey, Jean-Yves Berteloot",,"September 17, 2021",2021,Adults,105 min,"Action & Adventure, Dramas, International Movies","Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask."
63,118,Oxygen,"3,414",82,24,YES,s896,Movie,Alexandre Aja,"Mélanie Laurent, Mathieu Amalric, Malik Zidi","France, United States","May 12, 2021",2021,Teens,102 min,"Dramas, International Movies, Thrillers","After waking up in a cryogenic unit, Liz fights to survive and remember who she is before her oxygen runs out."
64,120,The Father Who Moves Mountains,"3,365",79,13,YES,s36,Movie,Daniel Sandu,"Adrian Titieni, Elena Purea, Judith State, Valeriu Andriuță, Tudor Smoleanu, Virgil Aioanei, Radu Botar, Petronela Grigorescu, Bogdan Nechifor, Cristian Bota",,"September 17, 2021",2021,Adults,110 min,"Dramas, International Movies, Thrillers","When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him."
65,121,How I Became a Superhero,"3,323",81,21,YES,s482,Movie,Douglas Attal,"Pio Marmaï, Vimala Pons, Benoît Poelvoorde, Leïla Bekhti, Swann Arlaud, Gilles Cohen, Léonie Souchaud, Camille Japy, Louis Peres, Théo Christine",,"July 9, 2021",2021,Adults,101 min,"Action & Adventure, Dramas, International Movies","In a world where humans and superheroes coexist, a lone wolf cop teams up with a bright detective to dismantle a dark plot to extract superpowers."
66,122,Rurouni Kenshin: The Beginning,"3,308",78,18,YES,s373,Movie,Keishi Otomo,"Takeru Satoh, Kasumi Arimura, Issey Takahashi, Nijiro Murakami, Masanobu Ando, Kazuki Kitamura, Yosuke Eguchi",,"July 30, 2021",2021,Adults,138 min,"Action & Adventure, International Movies","Before he was a protector, Kenshin was a fearsome assassin known as Battosai. But when he meets the gentle Tomoe Yukishiro, his story begins to change."
67,124,The Midnight Sky,"3,282",81,20,YES,s1500,Movie,George Clooney,"George Clooney, Felicity Jones, Kyle Chandler, Demián Bichir, David Oyelowo, Tiffany Boone, Caoilinn Springall, Sophie Rundle, Ethan Peck",United States,"December 23, 2020",2020,Teens,119 min,Dramas,"In the aftermath of a global catastrophe, a lone scientist in the Arctic races to contact a crew of astronauts with a warning not to return to Earth."
68,125,Security,"3,276",75,16,YES,s712,Movie,Peter Chelsom,"Marco D'Amore, Maya Sansa, Silvio Muccino, Valeria Bilello, Ludovica Martino, Giulio Pranno, Tommaso Ragno, Beatrice Grannò, Antonio Zavatteri, Anna Della Rosa, Fabrizio Bentivoglio",Italy,"June 16, 2021",2021,Adults,119 min,"Dramas, International Movies, Thrillers","After the assault of a young woman in their seaside town, a security expert and his family get caught in a powerful riptide of secrets and lies."
69,126,Red Dot,"3,244",79,15,YES,s1326,Movie,Alain Darborg,"Nanna Blondell, Anastasios Soulis, Thomas Hanzon, Johannes Kuhnke, Tomas Bergström, Kalled Mustonen, Anna Azcárate",Sweden,"February 11, 2021",2021,Adults,86 min,"International Movies, Thrillers","Trying to rekindle their marriage and with a child on the way, a young couple on a ski trip suddenly finds themselves stalked by remorseless killers."
70,128,The Girl on the Train,"3,098",68,35,YES,s1266,Movie,Ribhu Dasgupta,"Parineeti Chopra, Aditi Rao Hydari, Kirti Kulhari, Avinash Tiwary, Tota Roy Chowdhury",India,"February 26, 2021",2021,Adults,120 min,"International Movies, Thrillers",A troubled divorcée fixates on a seemingly ideal couple from afar until a shocking observation sends her spiraling straight into a knotty murder case.
71,130,The Witcher: Nightmare of the Wolf,"3,024",73,34,YES,s241,Movie,Han Kwang Il,"Theo James, Mary McDonnell, Lara Pulver, Graham McTavish, Tom Canton, David Errigo Jr, Jennifer Hale, Kari Wahlgren, Matt Yang King, Darryl Kurylo, Keith Ferguson",,"August 23, 2021",2021,Adults,84 min,"Action & Adventure, Anime Features","Escaping from poverty to become a witcher, Vesemir slays monsters for coin and glory, but when a new menace rises, he must face the demons of his past."
72,134,Into the Beat,"2,851",69,15,No,s1032,Movie,Stefan Westerwelle,"Alexandra Pfeifer, Yalany Marschner, Trystan Pütter, Helen Schneider, Julius Nitschkoff, Dennis Kyere, Ina Geraldine Guy, Katrin Pollitt, Julia Strowski, Anton Wichers",Germany,"April 16, 2021",2020,Teens,102 min,"Dramas, International Movies, Romantic Movies",A teen ballerina discovers hip-hop by chance and is faced with an impossible choice: Does she follow her parents’ footsteps... or her newfound passion?
73,142,Seventh Son,"2,601",39,14,No,s2122,Movie,Sergei Bodrov,"Jeff Bridges, Ben Barnes, Julianne Moore, Alicia Vikander, Antje Traue, Olivia Williams, John DeSantis, Kit Harington, Djimon Hounsou, Gerard Plunkett, Jason Scott Lee","United States, United Kingdom, Canada, China","August 16, 2020",2014,Teens,102 min,"Action & Adventure, Sci-Fi & Fantasy","In the 18th century, apprentice exorcist Tom Ward is the lynchpin in a battle between good and evil when imprisoned witch Mother Malkin escapes."
74,145,Sightless,"2,485",62,13,No,s1394,Movie,Cooper Karl,"Madelaine Petsch, Alexander Koch, December Ensminger, Lee Jones",United States,"January 20, 2021",2020,Teens,89 min,Thrillers,A former violinist grows suspicious of the new people in her life and their alarming behavior as she recovers from an assault that left her blind.
75,146,The Swarm,"2,482",73,10,YES,s300,Movie,Just Philippot,"Suliane Brahim, Sofian Khammes, Marie Narbonne, Raphaël Romand, Stéphan Castang, Victor Bonnel, Christian Bouillette, Renan Prévot, Vincent Deniard",France,"August 6, 2021",2021,Teens,102 min,"Horror Movies, Independent Movies, International Movies","A single mother breeds locusts as high-protein food, but has trouble getting them to reproduce — until she finds they have a taste for blood."
76,149,Monster,"2,453",65,10,No,s911,Movie,Anthony Mandler,"Kelvin Harrison Jr., Jennifer Hudson, Jeffrey Wright, Jennifer Ehle, Tim Blake Nelson, Nasir 'Nas' Jones, Rakim Mayers, Paul Ben-Victor, John David Washington, Jharrel Jerome, Dorian Missick",United States,"May 7, 2021",2021,Adults,99 min,Dramas,A talented teen implicated in a robbery-turned-murder fights for his innocence and integrity against a criminal justice system that’s already judged him.
77,153,A Week Away,"2,314",76,13,YES,s1157,Movie,Roman White,"Kevin Quinn, Bailee Madison, Jahbril Cook, Kat Conner Sterling, Sherri Shepherd, David Koechner, Iain Tucker, Amy Grant",United States,"March 26, 2021",2021,Older Kids,98 min,"Children & Family Movies, Faith & Spirituality, Music & Musicals","In this uplifting musical, a troubled teen takes a leap of faith by attending summer camp — and unexpectedly finds love, friends and a place to belong."
78,158,Madame Claude,"2,179",60,25,YES,s1111,Movie,Sylvie Verheyde,"Karole Rocher, Garance Marillier, Roschdy Zem, Pierre Deladonchamps, Liah O'Prey, Paul Hamy, Mylène Jampanoï, Hafsia Herzi, Regina Anikiy, Annabelle Belmondo, Joséphine de La Baume",France,"April 2, 2021",2021,Adults,113 min,"Dramas, International Movies","In 1960s Paris, Madame Claude's influence extends beyond the world of sex work — until an affluent young woman threatens to change everything."
79,159,The Yin Yang Master,"2,161",51,27,No,s1185,Movie,Li Weiran,"Chen Kun, Zhou Xun, Qu Chuxiao, Shen Yue, William Chan Wai-ting, Wang Likun, Cici Wang",China,"March 19, 2021",2021,Teens,120 min,"Action & Adventure, International Movies","A feud erupts between realms, and Yin Yang master Qing Ming teams up with disgraced guard Yuan Boya to vanquish a demonic threat as a conspiracy looms."
80,160,The Adventures of Sharkboy and Lavagirl,"2,075",25,75,No,s8184,Movie,Robert Rodriguez,"Taylor Lautner, Taylor Dooley, Cayden Boyd, George Lopez, David Arquette, Kristin Davis, Jacob Davich, Sasha Pieterse, Rico Torres",United States,"December 2, 2020",2005,Older Kids,93 min,Children & Family Movies,A 10-year-old dreamer's imaginary friends – mighty Sharkboy and fire-producing Lavagirl – come to life to seek his help battling a nefarious baddie.
81,163,Angel Has Fallen,"2,024",17,65,No,s2708,Movie,Ric Roman Waugh,"Gerard Butler, Morgan Freeman, Nick Nolte, Danny Huston, Jada Pinkett Smith, Lance Reddick, Tim Blake Nelson, Piper Perabo",United States,"April 4, 2020",2019,Adults,121 min,Action & Adventure,Secret Service agent Mike Banning is caught in the crossfire when he’s framed for a deadly attack on the president and forced to run for his life.
82,164,Twilight,"1,987",27,72,No,s452,Movie,Catherine Hardwicke,"Kristen Stewart, Robert Pattinson, Billy Burke, Peter Facinelli, Elizabeth Reaser, Cam Gigandet, Ashley Greene, Anna Kendrick, Nikki Reed, Taylor Lautner, Jackson Rathbone, Kellan Lutz",United States,"July 16, 2021",2008,Teens,122 min,"Action & Adventure, Dramas, Romantic Movies","When Bella Swan moves in with her father, she starts school and meets Edward, a mysterious classmate who reveals himself to be a 108-year-old vampire."
83,167,Room,"1,922",22,20,No,s7890,Movie,Lenny Abrahamson,"Brie Larson, Jacob Tremblay, Joan Allen, Sean Bridgers, Tom McCamus, William H. Macy, Cas Anvar, Amanda Brugel, Wendy Crewson, Sandy McMaster","Ireland, Canada, United Kingdom, United States","July 19, 2018",2015,Adults,118 min,"Dramas, Independent Movies","Kidnapped, confined to a tiny room and raped, a young woman gives birth to a son. When he reaches his fifth birthday, she begins plotting an escape."
84,169,2012,"1,886",31,51,No,s1114,Movie,Roland Emmerich,"John Cusack, Amanda Peet, Chiwetel Ejiofor, Thandie Newton, Oliver Platt, Tom McCarthy, Woody Harrelson, Danny Glover, Liam James, Morgan Lily",United States,"April 1, 2021",2009,Teens,158 min,"Action & Adventure, Sci-Fi & Fantasy","When a flood of natural disasters begins to destroy the world, a divorced dad desperately tries to save his family by outrunning the cataclysmic chaos."
85,170,Wanted,"1,878",32,20,No,s633,Movie,Nibal Arakji,"Daad Rizk, Georges Diab, Sihame Haddad, Georges Boukhalil, Aida Sabra, Pierre Rabbat, Myriam Klink, Dory El Samarany, Josyane Boulos",,"June 28, 2021",2019,Teens,90 min,"Comedies, International Movies",Four seniors embark on misadventures after breaking out of their nursing home to save a loved one’s grave from demolition by estate developers.
86,171,Just Say Yes,"1,878",43,16,YES,s1110,Movie,"Appie Boudellah, Aram van de Rest","Yolanthe Cabau, Noortje Herlaar, Kim-Lian van der Meij, Nienke Plas, Pip Pellens, Jim Bakkum, Huub Smit, Edwin Jonker",Netherlands,"April 2, 2021",2021,Adults,98 min,"Comedies, International Movies, Romantic Movies",Incurable romantic Lotte finds her life upended when her plans for a picture-perfect wedding unravel — just as her self-absorbed sister gets engaged.
87,174,Ava,186,4,29,No,s1585,Movie,Tate Taylor,"Jessica Chastain, Colin Farrell, John Malkovich, Common, Geena Davis, Jess Weixler, Diana Silvers, Joan Chen, Ioan Gruffudd",United States,"December 7, 2020",2020,Adults,97 min,"Action & Adventure, Dramas",An elite assassin wrestling with doubts about her work scrambles to protect herself — and her estranged family — after a hit goes dangerously wrong.
88,175,Bombshell,181,2,14,No,s5765,Movie,Riccardo Pilizzeri,"Ande Cunningham, Mark Mitchinson, Mia Pistorius, Nathalie Boltt, Nathan Lovejoy, Colin Moy, Jay Simon, Coen Falke, Greta Gregory, Byron Coll",New Zealand,"October 1, 2016",2016,Adults,86 min,Dramas,"In 1985, when a vessel protesting nuclear testing is sunk in New Zealand, local police fight to prove it was a terrorist plot by their French allies."
