,rank,title,points,counries,days,isoriginal,rating,duration,new_rank
86,133,Run On,"2,359",32,73,No,Adults,1 Season,D
87,134,Go Dog Go,"2,297",48,29,YES,Kids,1 Season,D
88,135,Selena: The Series,"2,238",20,41,YES,Older Kids,2 Seasons,D
89,136,Elite Short Stories: Carla Samuel,"2,229",53,14,YES,Adults,1 Season,D
90,137,Girl from Nowhere,"2,220",13,63,YES,Adults,2 Seasons,D
91,138,Tiny Pretty Things,"2,196",57,33,YES,Adults,1 Season,D
92,139,Capitani,"2,120",49,64,YES,Adults,1 Season,D
93,141,Love Alarm,"2,068",56,22,YES,Adults,2 Seasons,D
94,142,Halston,"2,015",47,18,YES,Adults,1 Season,D
95,144,Castlevania,"1,957",67,20,YES,Adults,4 Seasons,E
96,145,Workin' Moms,"1,924",47,18,YES,Adults,5 Seasons,E
97,147,Crash Landing on You,"1,891",9,180,YES,Teens,1 Season,E
98,148,Fatma,"1,680",44,47,YES,Adults,1 Season,E
99,150,Outlander,"1,642",22,104,No,Adults,4 Seasons,E
100,152,Zero Chill,"1,631",49,20,YES,Kids,1 Season,E
