rank,title,points,counries,days,isoriginal
142,Seventh Son,"2,601",39,14,No
143,Animals on the Loose: A You vs. Wild Interactive Movie,"2,596",77,14,YES
144,I Feel Pretty,"2,542",18,41,No
145,Sightless,"2,485",62,13,No
146,The Swarm,"2,482",73,10,YES
147,Tower Heist,"2,458",41,39,No
148,47 Ronin,"2,458",54,29,No
149,Monster,"2,453",65,10,No
150,Mortal Engines,"2,339",45,83,No
151,Ted 2,"2,335",48,26,No
152,R.I.P.D.,"2,325",39,19,No
153,A Week Away,"2,314",76,13,YES
154,This Little Love of Mine,"2,314",58,19,No
155,Men in Black: International,"2,309",28,104,No
156,The Emoji Movie,"2,208",26,106,No
157,Operation Varsity Blues: The College Admissions Scandal,"2,179",53,15,YES
158,Madame Claude,"2,179",60,25,YES
159,The Yin Yang Master,"2,161",51,27,No
160,The Adventures of Sharkboy and Lavagirl,"2,075",25,75,No
161,Rurouni Kenshin Part I: Origins,"2,059",56,47,No
162,Sniper: Ultimate Kill,"2,055",34,77,No
163,Angel Has Fallen,"2,024",17,65,No
164,Twilight,"1,987",27,72,No
165,The Twilight Saga: Breaking Dawn - Part 2,"1,945",27,66,No
166,Aquaman,"1,940",14,95,No
167,Room,"1,922",22,20,No
168,I See You,"1,889",18,15,No
169,2012,"1,886",31,51,No
170,Wanted,"1,878",32,20,No
171,Just Say Yes,"1,878",43,16,YES
172,Scoob!,202,1,28,No
173,The Son of Bigfoot,192,7,8,No
174,Ava,186,4,29,No
175,Bombshell,181,2,14,No
176,Man on a Ledge,174,4,13,No
